"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"State Street Corp", 320794199, 10419393, "12/31/2016"
"BlackRock Institutional Trust Company N.A.", 167491512, 5440124, "12/31/2016"
"Bank of America Corp DE", , 3759914, "12/31/2016"
"JPMorgan Chase & Co.", , 3626588, "12/31/2016"
"BlackRock Fund Advisors", 105436544, 3424579, "12/31/2016"
"Price T Rowe Associates Inc. MD", 80901141, 2627669, "12/31/2016"
"Northern Trust Corp", 80329015, 2609085, "12/31/2016"
"Bank of New York Mellon Corp", 72213115, 2345482, "12/31/2016"
"Wellington Management Group LLP", 68645342, 2229601, "12/31/2016"
"BlackRock Group LTD", 65100942, 2114479, "12/31/2016"
"Ameriprise Financial Inc.", 62936937, 2044299, "12/31/2016"
"State Farm Mutual Automobile Insurance Co.", 59680824, 1938434, "12/31/2016"
"Norges Bank", 58401793, 1896890, "12/31/2016"
"Geode Capital Management LLC", 55961458, 1815482, "12/31/2016"
"BlackRock Advisors LLC", 55445130, 1800858, "12/31/2016"
"Massachusetts Financial Services Co. MA", 47122835, 1530549, "12/31/2016"
"Morgan Stanley", 45634541, 1482210, "12/31/2016"
"Barrow Hanley Mewhinney & Strauss LLC", 45401940, 1474655, "12/31/2016"
"Invesco Ltd.", 43958382, 1427769, "12/31/2016"
"Franklin Resources Inc.", 43650202, 1417757, "12/31/2016"
"Dimensional Fund Advisors LP", 40054688, 1300992, "12/31/2016"
"Deutsche Bank AG", , 1260794, "12/31/2016"
"Alliancebernstein L.P.", 38260678, 1242707, "12/31/2016"
"Capital International Investors", 36665917, 1190909, "12/31/2016"
"LSV Asset Management", 34346542, 1115575, "12/31/2016"
"Wells Fargo & Company MN", , 1103568, "12/31/2016"
"Fisher Asset Management LLC", 32204753, 1046010, "12/31/2016"
"Lazard Asset Management LLC", 31673880, 1028766, "12/31/2016"
"Schwab Charles Investment Management Inc.", 30883419, 1003094, "12/31/2016"
"BlackRock Investment Management LLC", 30274998, 983332, "12/31/2016"
"Legal & General Group Plc", 30002403, 974480, "12/31/2016"
"Capital World Investors", 29352264, 953362, "12/31/2016"
"Goldman Sachs Group Inc.", , 938921, "12/31/2016"
"Nordea Investment Management AB", 27888755, 905827, "12/31/2016"
"TIAA CREF Investment Management LLC", 26595184, 863812, "12/31/2016"
"Macquarie Group Ltd.", 24455341, 794310, "12/31/2016"
"PNC Financial Services Group Inc.", 22944526, 745238, "12/31/2016"
"Maverick Capital Ltd.", 22851570, 742219, "12/31/2016"
"Boston Partners", 22614188, 734509, "12/31/2016"
"FMR LLC", 21970338, 713596, "12/31/2016"
"American Century Companies Inc.", 20444838, 664048, "12/31/2016"
"Royal Bank of Canada", , 661974, "12/31/2016"
"APG Asset Management N.V.", 21495102, 661921, "12/31/2016"
"UBS Group AG", , 639883, "12/31/2016"
"New York State Common Retirement Fund", 19451330, 631779, "12/31/2016"
"Neuberger Berman Group LLC", 18941749, 615228, "12/31/2016"
"FIL Ltd", 18804304, 610764, "12/31/2016"
"Swiss National Bank", 18367089, 596563, "12/31/2016"
"Schroder Investment Management Group", 18310936, 594740, "12/31/2016"
"Longview Partners Guernsey LTD", 18011013, 584998, "12/31/2016"
"Sumitomo Mitsui Trust Holdings Inc.", 17207858, 558911, "12/31/2016"
"Bank of Montreal Can", , 554106, "12/31/2016"
"UBS Asset Management Americas Inc.", 17045807, 553647, "12/31/2016"
"AJO LP", 16926063, 549759, "12/31/2016"
"Parametric Portfolio Associates LLC", 16884817, 548419, "12/31/2016"
"Sanders Capital LLC", 15003741, 505482, "12/31/2016"
"BlackRock Inc.", 15284886, 496453, "12/31/2016"
"Credit Suisse AG", , 493256, "12/31/2016"
"American International Group Inc.", 15140736, 491771, "12/31/2016"
"California Public Employees Retirement System", 14702138, 477525, "12/31/2016"
"Prudential Financial Inc.", 14524556, 471758, "12/31/2016"
"Janus Capital Management LLC", 14196738, 461181, "12/31/2016"
"Allianz Asset Management AG", , 453075, "12/31/2016"
"Emerald Acquisition Ltd.", 13290914, 450077, "09/30/2016"
"Teachers Advisors LLC", 13664429, 443821, "12/31/2016"
"Mitsubishi UFJ Trust & Banking Corp", 13586879, 441302, "12/31/2016"
"The Manufacturers Life Insurance Company", 13452076, 436923, "12/31/2016"
"Diamond Hill Capital Management Inc.", 12957027, 420844, "12/31/2016"
"California State Teachers Retirement System", 12875627, 418200, "12/31/2016"
"Eaton Vance Management", 12578419, 408547, "12/31/2016"
"Lord Abbett & CO. LLC", 12448923, 404341, "12/31/2016"
"Russell Investments Group Ltd.", 11851165, 384874, "12/31/2016"
"Principal Financial Group Inc.", 11525840, 374360, "12/31/2016"
"New York State Teachers Retirement System", 11119140, 361150, "12/31/2016"
"Asset Management One Co. Ltd.", 11094592, 360362, "12/31/2016"
"I.G. Investment Management LTD.", 11087884, 360134, "12/31/2016"
"Clearbridge Investments LLC", 10860796, 352759, "12/31/2016"
"AQR Capital Management LLC", 10312918, 334964, "12/31/2016"
"Prudential PLC", 9576618, 311049, "12/31/2016"
