"position", "ticker", "name", "family", "num_searches"
1, "FBIOX", "Fidelity Select Biotechnology Portfolio", "Fidelity Investments", 49500
2, "VFINX", "Vanguard 500 Index Inv", "Vanguard", 27100
3, "VGHCX", "Vanguard Health Care Inv", "Vanguard", 22200
3, "VTSAX", "Vanguard Total Stock Mkt Idx Adm", "Vanguard", 22200
5, "PRHSX", "T. Rowe Price Health Sciences", "T. Rowe Price", 18100
5, "VTSMX", "Vanguard Total Stock Mkt Idx Inv", "Vanguard", 18100
7, "FCNTX", "Fidelity Contrafund", "Fidelity Investments", 14800
7, "VFIAX", "Vanguard 500 Index Admiral", "Vanguard", 14800
7, "VGENX", "Vanguard Energy Inv", "Vanguard", 14800
10, "FKINX", "Franklin Income A", "Franklin Templeton Investments", 12100
10, "JINXX", "JPMorgan Prime Money Market Inst", "JPMorgan", 12100
12, "FSPHX", "Fidelity Select Health Care Portfolio", "Fidelity Investments", 9900
12, "VDIGX", "Vanguard Dividend Growth Inv", "Vanguard", 9900
12, "VWELX", "Vanguard Wellington Inv", "Vanguard", 9900
15, "DODGX", "Dodge & Cox Stock", "Dodge & Cox", 8100
15, "FCISX", "Franklin Income C", "Franklin Templeton Investments", 8100
15, "MEDIX", "MFS Emerging Markets Debt I", "MFS", 8100
15, "PTTRX", "PIMCO Total Return Instl", "PIMCO", 8100
15, "VFIFX", "Vanguard Target Retirement 2050 Inv", "Vanguard", 8100
15, "VINIX", "Vanguard Institutional Index I", "Vanguard", 8100
15, "VWINX", "Vanguard Wellesley Income Inv", "Vanguard", 8100
22, "AGTHX", "American Funds Growth Fund of Amer A", "American Funds", 6600
22, "DODFX", "Dodge & Cox International Stock", "Dodge & Cox", 6600
22, "MINIX", "MFS International Value I", "MFS", 6600
22, "VGHAX", "Vanguard Health Care Adm", "Vanguard", 6600
22, "VGPMX", "Vanguard Precious Metals and Mining Inv", "Vanguard", 6600
22, "VIGRX", "Vanguard Growth Index Inv", "Vanguard", 6600
22, "VTIVX", "Vanguard Target Retirement 2045 Inv", "Vanguard", 6600
22, "VWENX", "Vanguard Wellington Admiral", "Vanguard", 6600
30, "ABALX", "American Funds American Balanced A", "American Funds", 5400
30, "AIVSX", "American Funds Invmt Co of Amer A", "American Funds", 5400
30, "FUSEX", "Fidelity Spartan 500 Index Inv", "Fidelity Investments", 5400
30, "FUSVX", "Fidelity Spartan 500 Index Advtg", "Fidelity Investments", 5400
30, "MALOX", "BlackRock Global Allocation Instl", "BlackRock", 5400
30, "POSIX", "Principal Global Real Estate Sec Inst", "Principal Funds", 5400
30, "PRWCX", "T. Rowe Price Capital Appreciation", "T. Rowe Price", 5400
30, "SPINX", "SEI S&P 500 Index A (SIIT)", "SEI", 5400
30, "TRBCX", "T. Rowe Price Blue Chip Growth", "T. Rowe Price", 5400
30, "VASGX", "Vanguard LifeStrategy Growth Inv", "Vanguard", 5400
30, "VGSIX", "Vanguard REIT Index Inv", "Vanguard", 5400
30, "VGSTX", "Vanguard STAR Inv", "Vanguard", 5400
30, "VGTSX", "Vanguard Total Intl Stock Index Inv", "Vanguard", 5400
30, "VIMAX", "Vanguard Mid Cap Index Adm", "Vanguard", 5400
30, "VTIAX", "Vanguard Total Intl Stock Index Admiral", "Vanguard", 5400
45, "AMECX", "American Funds Inc Fund of Amer A", "American Funds", 4400
45, "CAIBX", "American Funds Capital Inc Bldr A", "American Funds", 4400
45, "FBALX", "Fidelity Balanced", "Fidelity Investments", 4400
45, "FDGRX", "Fidelity Growth Company", "Fidelity Investments", 4400
45, "FLPSX", "Fidelity Low-Priced Stock", "Fidelity Investments", 4400
45, "FSENX", "Fidelity Select Energy Portfolio", "Fidelity Investments", 4400
45, "SWPPX", "Schwab S&P 500 Index", "Schwab Funds", 4400
45, "VBMFX", "Vanguard Total Bond Market Index Inv", "Vanguard", 4400
45, "VBTLX", "Vanguard Total Bond Market Index Adm", "Vanguard", 4400
45, "VGSLX", "Vanguard REIT Index Adm", "Vanguard", 4400
